GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerceapp,com.github.damiox.ecommerce.service,SecurityServiceImpl.JwtUtils,0,53,0,0,0,16,0,2,0,2
ecommerceapp,com.github.damiox.ecommerce.service,ProductServiceImpl,0,134,0,6,0,29,0,14,0,11
ecommerceapp,com.github.damiox.ecommerce.service,SecurityServiceImpl,0,83,0,0,0,18,0,6,0,6
ecommerceapp,com.github.damiox.ecommerce.service,CategoryServiceImpl,0,67,0,2,0,19,0,10,0,9
ecommerceapp,com.github.damiox.ecommerce.entity,Category,11,20,0,0,5,8,3,6,3,6
ecommerceapp,com.github.damiox.ecommerce.entity,User,0,47,0,0,0,15,0,12,0,12
ecommerceapp,com.github.damiox.ecommerce.entity,AbstractEntity,2,35,2,4,1,9,2,6,0,5
ecommerceapp,com.github.damiox.ecommerce.entity,Product,4,27,0,0,2,11,1,8,1,8
ecommerceapp,com.github.damiox.ecommerce.api,ExceptionResolver,5,13,0,0,2,5,1,3,1,3
ecommerceapp,com.github.damiox.ecommerce.api.controller,ProductController.ProductDto,0,24,0,0,0,10,0,7,0,7
ecommerceapp,com.github.damiox.ecommerce.api.controller,CategoryProductsController,0,151,0,4,0,21,0,11,0,9
ecommerceapp,com.github.damiox.ecommerce.api.controller,ProductController,0,109,0,0,0,17,0,9,0,9
ecommerceapp,com.github.damiox.ecommerce.api.controller,CategorySubcategoriesController,0,146,0,4,0,21,0,11,0,9
ecommerceapp,com.github.damiox.ecommerce.api.controller,AuthenticationController,0,30,0,0,0,7,0,3,0,3
ecommerceapp,com.github.damiox.ecommerce.api.controller,CategoryController.CategoryDto,0,10,0,0,0,4,0,3,0,3
ecommerceapp,com.github.damiox.ecommerce.api.controller,AuthenticationController.CredentialsDto,0,17,0,0,0,7,0,5,0,5
ecommerceapp,com.github.damiox.ecommerce.api.controller,CategoryController,0,91,0,0,0,16,0,9,0,9
ecommerceapp,com.github.damiox.ecommerce.api.controller,AuthenticationController.AuthenticationResponse,0,9,0,0,0,4,0,2,0,2
ecommerceapp,com.github.damiox.ecommerce.util,CurrencyExchangeCommand.FixerIOClient,15,55,5,5,3,10,5,3,0,3
ecommerceapp,com.github.damiox.ecommerce.util,CurrencyExchangeCommand.FixerIOClient.FixerIOResponse,0,7,0,0,0,3,0,2,0,2
ecommerceapp,com.github.damiox.ecommerce.api.resource,ProductResource,0,34,0,0,0,12,0,6,0,6
ecommerceapp,com.github.damiox.ecommerce.api.resource,CategoryResource,0,9,0,0,0,4,0,2,0,2
ecommerceapp,com.github.damiox.ecommerce.api.assembler,CategoryResourceAssembler,0,72,0,6,0,11,0,6,0,3
ecommerceapp,com.github.damiox.ecommerce.api.assembler,ProductResourceAssembler,0,35,0,2,0,8,0,4,0,3
ecommerceapp,com.github.damiox.ecommerce,ECommerceAppSecurityConfig,0,78,0,0,0,24,0,6,0,6
ecommerceapp,com.github.damiox.ecommerce,ECommerceApp,5,3,0,0,2,1,1,1,1,1
ecommerceapp,com.github.damiox.ecommerce.security,JWTAuthenticationFilter,7,26,1,3,2,8,1,4,0,3
ecommerceapp,com.github.damiox.ecommerce.exception,NotFoundException,0,11,0,0,0,2,0,1,0,1
